S.NO,IMAGES,PARTICULARS,PCS RATE,GRAM,IMAGE ADRESS
194,,TIFFANY CRUNCH AND CREAMY CHOCOLATE WAFFERS,66,65g,https://i.chaldn.com/_mpimage/tiffany-crunch-n-cream-chocolate-wafers-65-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136236&q=best&v=1&m=400&m=1600
195,,TIFFANY CRUNCH AND CREAMY HAZELNUT WAFFERS,66,65g,https://www.bbassets.com/media/uploads/p/l/40002870_3-tiffany-cream-wafers-crunch-n-cream-crunchiest-hazelnut-flavored.jpg
196,,TIFFANY CRUNCH AND CREAMY ORANGE WAFFERS,66,65g,https://www.jiomart.com/images/product/original/490160320/tiffany-crunch-n-cream-orange-wafers-65-g-product-images-o490160320-p590123139-0-202411221049.jpg
197,,TIFFANY CRUNCH AND CREAMY VANILA WAFFERS,66,65g,https://www.jiomart.com/images/product/original/490009652/tiffany-crunch-n-cream-vanilla-wafers-135-g-product-images-o490009652-p590116249-0-202402130909.jpg
198,,OREO DUTCH COCOA WAFFER,125,117g,https://down-my.img.susercontent.com/file/7d9bc59f448789de3642378180905c4e
,,CHOCOLATES,,,
200,,M&M CRISPY ,130,36g,https://cococart.in/cdn/shop/files/1CH2623.jpg?v=1737701327
201,,M&M PEANUT,130,45g,https://cococart.in/cdn/shop/products/m_m-22.png?v=1659950215
202,,M&M CHOCOLATE ,130,45g,https://www.wholesaleshopy.com/assets/grocery/S2aELV4dWqe3P9y.jpg
203,,MILKA OREO,249,90g,"https://m.media-amazon.com/images/I/714WuPgiauL._AC_UF894,1000_QL80_.jpg"
204,,MILKA STRAWBERRY ,240,90g,"https://m.media-amazon.com/images/I/710aUglHxWL._AC_UF894,1000_QL80_.jpg"
205,,MILKA ALPINE MILK,240,98g,"https://www.jiomart.com/images/product/original/491695935/milka-alpine-milk-chocolate-100-g-product-images-o491695935-p608195499-0-202402271225.jpg?im=Resize=(420,420)"
206,,MILKA BUBBLY ALPINE MILK ,249,90g,"https://m.media-amazon.com/images/I/71SoFL5ekDL._AC_UF894,1000_QL80_.jpg"
207,,MILKA CARAMEL ,240,95g,"https://m.media-amazon.com/images/I/717Xwed1igL._AC_UF894,1000_QL80_.jpg"
208,,CADBURY DAIRY MILK HAZELNUT ,420,130g,https://5.imimg.com/data5/SELLER/Default/2025/10/550641968/HG/CG/CC/63388968/005104-1-1-e7fe7a58-dad7-4f29-b647-c572eacce8b6-500x500.jpg
209,,CADBURY DAIRY MILK BLACK FOREST ,420,130g,"https://m.media-amazon.com/images/I/41YF6E5MdAL._AC_UF894,1000_QL80_.jpg"
210,,CADBURY DAIRY MILK COKLAT SUSU MILK CHOCOLATE ,420,135g,CAMERA PIC
211,,DAIRY MILK ROAST ALMOND ,420,130g,https://5.imimg.com/data5/SELLER/Default/2025/10/550644046/QK/XJ/QF/63388968/my-11134201-7rase-m7lr0ilbbyji11-500x500.jpg
212,,CADBURY DAIRY MILK BUBBLY ,290,87g,https://m.media-amazon.com/images/I/71RnYZhHNhL.jpg
213,,CONFETTERIA RAFFAELLO ,160,30g,https://maplesfood.com/wp-content/uploads/2020/12/raffaello-3pcs.jpg
,,CHIPS,,,
215,,PRINGLES TANGY TOMATO TWIST ,120,102g,"https://m.media-amazon.com/images/I/717OXDQY87L._AC_UF894,1000_QL80_.jpg"
216,,PRINGLES PIZZA,120,102g,https://www.bbassets.com/media/uploads/p/l/40127974_8-pringles-potato-crisps-pizza-flavour.jpg
217,,PRINGLES SOUTH AFRICAN STYLE PERI PERI,120,102g,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2024/11/7/25f8b191-39aa-41fa-8009-79135dfed790_632_1.png"
218,,PRINGLES SALT AND VINEGAR ,249,165g,"https://m.media-amazon.com/images/I/71c9NQ0RIpL._AC_UF894,1000_QL80_.jpg"
219,,HAMDARD SARBATH ,1000,800ml,"https://m.media-amazon.com/images/I/61DhX83h6bL._AC_UF894,1000_QL80_.jpg"
220,,EVIAN NATURAL MINERAL WATER ,149,500ml,https://m.media-amazon.com/images/I/61oQ5VdP7EL.jpg
,,JUICES,,,
221,,MOGU MOGU MELON,70,320ml,"https://images.apollo247.in/pub/media/catalog/product/m/o/mog0026-2.jpg?tr=q-80,f-webp,w-400,dpr-3,c-at_max%20400w"
222,,MOGU MOGU ORANGE,70,320ml,https://cdn.grofers.com/da/cms-assets/cms/product/87d776f4-438b-48c2-b4db-98087d8c0236.jpg
223,,MOGU MOGU APPLE,70,320ml,https://www.healthfoods4us.com/brands/mogumogu/products/mogu_apple.png
224,,MOGU MOGU GRAPES,70,320ml,https://www.bbassets.com/media/uploads/p/l/100334329_7-mogu-mogu-juice-grape.jpg
225,,MOGU MOGU STRAWBERRY ,70,320ml,https://www.bbassets.com/media/uploads/p/l/100334326_6-mogu-mogu-juice-strawberry.jpg
226,,FRESA FRESHER LEMON,90,250ml,https://cms.fresa.com.tr/tr.com.fresher.v1/products-fresher-250-lemon-01.png
227,,FRESA FRESHER WATERMELON AND STRAWBERRY ,90,250ml,https://cms.fresa.com.tr/tr.com.fresher.v1/products-fresher-250-watermelon-strawberry-01.png
,,WAFFER STICKS,,,
232,,ASTOR WAFER STICK COKELAT MORE CHOCOLATE ,899,330g,https://images-cdn.ubuy.co.in/6365e4517a2ac8325263e7ae-astor-wafer-stick-chocolate-flavor.jpg
,,TWISTER STRAWBERRY ,300,320g,CAMERA PIC
,,TWISTER CHOCO,300,320g,CAMERA PIC
,,TWISTER CAPPUCCINO,300,320g,CAMERA PIC
,,TWISTER VANILLA,300,320g,CAMERA PIC
,,TWISTER BLACK,300,320g,CAMERA PIC
,,MILK POWERS,,,
233,,NESTLE NIDO ,1949,900g,https://m.media-amazon.com/images/I/51s1NNh46CL.jpg
234,,NESTLE NIDO ,799,400g,https://www.luckystore.in/cdn/shop/files/Nido-Milk-Powder-400g-Nutrient-Rich-Nestle-Instant-Milk-Powder-Luckystore-59877435_750x.png?v=1752229644
235,,NESTLE MILO ,549,400g,https://i0.wp.com/aafiadryfruits.in/wp-content/uploads/2024/08/mailo-tin.jpg
236,,ANCHOR FORTIFIED FULL CREAM MILK POWDER ,1250,400g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5M2MnZPg89zhXy0HTV-ilTBZDREmzOTkwdA&s
,,RAMEN,,,
237,,SAMYANG BULDAK CHEESE HOT CHICKEN RAMEN,190,105g,"https://m.media-amazon.com/images/I/81N6nKxHTTL._AC_UF894,1000_QL80_.jpg"
238,,SAMYANG BULDAK QUATTRO CHEESE HOT CHICKEN RAMEN,190,110g,"https://m.media-amazon.com/images/I/615uJK1utUL._AC_UF894,1000_QL80_.jpg"
239,,SAMYANG KOREAN KIMCHI FLAVOUR RAMEN ,110,70g,https://m.media-amazon.com/images/I/61axbpxSi7L.jpg
240,,SAMYANG BLACK BULDAK HOT CHICKEN FLAVOUR RAMEN ,130,70g,"https://m.media-amazon.com/images/I/41uoxtdwTnL._AC_UF894,1000_QL80_.jpg"
,,CHIPS TIN,,,
241,,PRINGLES ORIGINAL POTATO CHIPS TIN,160,37g,https://funfoods.ca/cdn/shop/files/00064100852631x.jpg?v=1759500866&width=900
242,,CHIPS OMAN POTATO CHIPS CHILLI FLAVOUR TIN,130,37g,"https://m.media-amazon.com/images/I/51hrbBfWZ5L._AC_UF350,350_QL80_.jpg"
,,MARSHMALLOWS,,,
244,,AMERICANO MARSHMALLOW TEDDY LOVE ,99,50g,CAMERA PIC
245,,AMERICANO MARSHMALLOW LOVE CANDY,99,35g,CAMERA PIC
246,,AMERICANO MARSHMALLOW HOUSE CANDY,99,35g,CAMERA PIC
251,,AMERICANO MARSHMALLOW BURGER ,99,50g,CAMERA PIC
228,,AMERICANO MARSHMALLOW RABBIT GIFT,99,35g,CAMERA PIC
229,,AMERICANO MARSHMALLOW FRUITS,99,50g,CAMERA PIC
230,,AMERICANO MARSHMALLOW TEDDY ROSE LOVE,99,35g,CAMERA PIC
231,,AMERICANO MARSHMALLOW HALLOWEEN ,99,35g,CAMERA PIC
,,OLIVE OILS,,,
256,,RS SPANISH OIL - MULTIPURPOSE OLIVE OIL,520,175ml,CAMERA PIC
257,,RS SPANISH OIL - MULTIPURPOSE OLIVE OIL,699,230ml,CAMERA PIC
258,,FIGARO SPANISH BRAND MULTIPURPOSE OLIVE OIL ,399,200ml,https://m.media-amazon.com/images/I/71ltIhBaC9L.jpg
259,,FIGARO SPANISH BRAND MULTIPURPOSE OLIVE OIL ,939,500ml,"https://m.media-amazon.com/images/I/61igacZ3vsL._AC_UF894,1000_QL80_.jpg"
260,,FIGARO PLAIN GREEN OLIVES,340,450g,https://www.bbassets.com/media/uploads/p/l/40208806_1-figaro-plain-green-olives.jpg
261,,FIGARO PLAIN BLACK OLIVES,340,450g,https://palmtreeshopping.com/cdn/shop/files/FIGARO-PLAIN-BLACK-OLIVES-450-G.png?v=1735783944
262,,DONUT MARSHMALLOW ,40,10g,https://i5.walmartimages.com/asr/fb6bb107-1a1e-4640-b697-51d7cfff2e85.f385838eb301b7c05980cea91a46a264.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
263,,CARTOON MARSHMALLOW ,40,10g,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/74dc74c61e4b4f938b635e5101d45e90~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=e1be8f53&idc=my&from=2378011839
,,WAFFERS,,,
268,,QUADRATINI LOACKER VANILLA WAFFERS,299,125g,https://m.media-amazon.com/images/I/61k7O5kH8qS.jpg
269,,QUADRATINI LOACKER COCOA AND MILK WAFFERS,299,125g,https://m.media-amazon.com/images/I/51G4ZWKr7nS.jpg
270,,QUADRATINI LOACKER NAPOLITANER WAFFERS,299,125g,https://m.media-amazon.com/images/I/61hYVk2wdmL.jpg
271,,QUADRATINI LOACKER DARK CHOCOLATE WAFFERS,299,125g,https://thegiftstudio.com/cdn/shop/files/Loacker_Quadratini_Dark_Choco_Wafer_125G_1188488.jpg?v=1744102404
272,,QUADRATINI LOACKER ESPRESSO WAFFERS,299,110g,https://m.media-amazon.com/images/I/61GX-DgTq4L.jpg
273,,QUADRATINI LOACKER DOUBLE CHOC WAFFERS,299,125g,https://m.media-amazon.com/images/I/51x-TtwGgiS.jpg
274,,QUADRATINI LOACKER CAPPUCCINO WAFFERS,299,110g,https://m.media-amazon.com/images/I/61WsT6kZLWL.jpg
275,,QUADRATINI LOACKER TIRAMISU WAFFERS,480,220g,https://m.media-amazon.com/images/I/6116bcmUFKL.jpg
276,,QUADRATINI LOACKER BLUEBERRY -YOGURT WAFFERS,480,220g,https://m.media-amazon.com/images/I/61icPlr6VvS.jpg
277,,QUADRATINI LOACKER CHOCOLATE WAFFERS,499,250g,"https://m.media-amazon.com/images/I/61s69hN22fS._AC_UF894,1000_QL80_.jpg"
,,JUICES,,,
283,,COLA WITH DATES EXTRACT TIN ,120,240ml,"https://m.media-amazon.com/images/I/81SZFaJ1dNL._AC_UF894,1000_QL80_.jpg"
284,,RANI FLOAT PEACH JUICE TIN,120,240ml,https://5.imimg.com/data5/SELLER/Default/2024/7/437689080/UJ/EQ/MV/99399999/rani-fruit-drink-peach-flavor-240-ml.png
285,,RANI FLOAT GUAVA JUICE TIN,120,240ml,"https://m.media-amazon.com/images/I/51bWRooFocL._AC_UF894,1000_QL80_.jpg"
286,,RANI FLOAT MANGO JUICE TIN,120,240ml,https://5.imimg.com/data5/SELLER/Default/2024/7/437698230/MT/TR/BL/99399999/rani-fruit-drink-mango-flavor-240-ml.png
287,,RANI FLOAT PINEAPPLE JUICE TIN,120,240ml,https://5.imimg.com/data5/SELLER/Default/2024/7/437702220/IN/LH/MP/99399999/rani-fruit-drink-pineapple-flavor-240-ml.png
288,,RANI FLOAT STRAWBERRY BANANA JUICE TIN,120,240ml,https://5.imimg.com/data5/SELLER/Default/2024/7/437697839/PZ/BJ/SR/99399999/rani-fruit-drink-strawberry-banana-flavor-with-real-fruit-chunks-240-ml.png
289,,RANI FLOAT ORANGE JUICE TIN,120,240ml,https://restaurantsupplier1.com/wp-content/uploads/2024/08/Rani-Float-Can-Orange.jpg
290,,REDBULL ENERGY DRINK ,299,250ml,"https://m.media-amazon.com/images/I/51Bp30CR3IL._AC_UF894,1000_QL80_.jpg"
291,,REDBULL COCONUT EDITION COCONUT AND BERRY,299,250ml,"https://m.media-amazon.com/images/I/31gYkg+L+XL._AC_UF894,1000_QL80_.jpg"
292,,REDBULL SUMMER EDITION WHITE PEACH,299,250ml,https://images-cdn.ubuy.co.in/6818d88f1e116cc79003d6d8-red-bull-white-peach-summer-edition.jpg
293,,REDBULL ICE EDITION ICED VANILLA BERRY,299,250ml,https://www.redbull.com/energydrink/v1/resources/storyblok/images/f/287059/528x1348/2ef660537e/gb_igb_250ml_ac_the-ice-edition_country_rgb_packrq-2739_cold_closed_front_com_full.png/m/1000x0
294,,REDBULL GREEN EDITION CURUBA-ELDER FLOWER,299,250ml,https://www.redbull.com/energydrink/v1/resources/storyblok/images/f/287059/870x2200/4bc7dcbf6f/us_ce_250ml_the-green-edition_country_rgb_packrq-1710_cold_closed_front_com_25.png/m/1000x0
295,,REDBULL TROPICAL EDITION TROPICAL FRUITS ,299,250ml,"https://m.media-amazon.com/images/I/51a+Lw2ckJL._AC_UF894,1000_QL80_.jpg"
296,,REDBULL BLUE EDITION JUNEBERRY,299,250ml,https://a.storyblok.com/f/287059/870x2200/31141b9a15/us_jb_250ml_the-sea-blue-edition_country_rgb_do242582_cold_closed_front_com_25.png
297,,REDBULL PINK EDITION FOREST FRUITS ,299,250ml,https://www.redbull.com/energydrink/v1/resources/storyblok/images/f/287059/528x1348/4ef42dfdce/gb_sf-ff_250ml_the-pink-edition-sugarfree_country_rgb_master_cold_closed_front_com_full.png/m/1000x0
298,,REDBULL APRICOT EDITION APRICOT -STRAWBERRY,299,250ml,https://lyko.com/globalassets/product-images/red-bull-apricot-edition-250ml.-3617-107-0250_1.png?ref=FB3B983134
299,,RED BLUE ENERGY DRINK 250,120,250ml,https://pasal101.thulo.com.np/assets/tenant/uploads/media-uploader/pasal101/20240628012246_306213029.jpg
300,,REDBULL SHOT ,300,60ml,https://img-cdn.heureka.group/v1/2abcc85b-4299-4217-af60-b536a66e5f10.jpg
301,,VIMTO ENERGY DRINK SINCE 1908,220,250ml,"https://m.media-amazon.com/images/I/61p9sHdHQqL._AC_UF894,1000_QL80_.jpg"
302,,SHANI FRUIT FLAVOURED DRINK ,220,250ml,https://bf1af2.akinoncloudcdn.com/products/2025/06/26/379654/55be8d98-9e21-4ada-a32e-ba2400383453_size3840_cropCenter.jpg
303,,MONSTER ENERGY ,125,350ml,"https://m.media-amazon.com/images/I/61F1YLfg+wL._AC_UF894,1000_QL80_.jpg"
304,,BOOM BOOM ENERGY DRINK ,299,250ml,https://boomboostan.com/en/Uploads/products/e2e501e9-180d-4174-b332-d277306449c6.jpg
,,COOKIES,,,
305,,"SAPPHIRE ASSORTMENT ALMONDS, HAZELNUT AND RAISINS COVERED IN MILK CHOCO",500,175g,"https://m.media-amazon.com/images/I/51W3ymaUAVL._AC_UF894,1000_QL80_.jpg"
306,,SAPPHIRE ALMOND COVERED IN MILK CHOCO,500,175g,"https://m.media-amazon.com/images/I/51-i4hG72IL._AC_UF894,1000_QL80_.jpg"
307,,SAPPHIRE ALMOND COVERED IN MILK CHOCO,500,350g,https://www.bbassets.com/media/uploads/p/l/40017562_8-sapphire-almonds-almonds-covered-with-milk-choco.jpg
308,,NESTLE QUALITY STREET CHOCOLATES,1900,900g,https://www.jungle.lk/wp-content/uploads/2018/06/Nestle-Quality-Street-Chocolates-900g.jpg
309,,SAPPHIRE ALMOND COVERED IN MILK CHOCO,275,90g,https://sapphireconfectionery.com/cdn/shop/files/IMG-20240816-WA0013_1200x.png?v=1727680258
310,,AMERICANA QUALITY PREMIUM BUTTER COOKIES ,599,454g,https://murukali.com/cdn/shop/files/Americana-Premium-Butter-Cookies-454g-Murukali.com-107554143_700x700.jpg?v=1755412761
311,,HAPPY DAY ASSORTED BISCUITS ,650,600g,https://d3a9swb5fm9qfw.cloudfront.net/uploads/drive/1VQIVlWThq4Ay4M8gkTJpbNI_z4fIGYnJ.jpg
313,,MCOATY BREAKFAST OAT COOKIES CHOCOLATE CHIPS ,250,96g,https://cejdistributors.com/wp-content/uploads/2024/12/MC-OATY-W-CHOCO-CHIPS.png
314,,MCOATY BREAKFAST OAT COOKIES WITH RAISINS,250,96g,https://images.freshop.ncrcloud.com/1764405684714959886/fd9c1707ea88f6bd8b3649343e92379c_large.png
315,,GPR ROYAL BRITISH CHOCOLATE CHIPS COOKIES THE AUTHENTIC RECIPE ,250,96g,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/NI_CATALOG/IMAGES/CIW/2025/4/28/d63da293-fc93-42dc-bf39-91ad55cd12db_697726_3.png"
316,,HARRODSON TRADITIONAL RECIPE BLUEBERRY AND ALMOND BUTTER COOKIES,700,338g,https://m.media-amazon.com/images/I/61xukCrEavL.jpg
317,,SAPPHIRE CHOCOCHIP COOKIES PREMIUM COLLECTION ,350,350g,"https://m.media-amazon.com/images/I/8168C0ng73L._UF894,1000_QL80_.jpg"
318,,SAPPHIRE BUTTER COOKIES GOLD COLLECTION ,350,350g,https://m.media-amazon.com/images/I/81BoxqPT82L.jpg
319,,SAPPHIRE BUTTER COOKIES SILVER COLLECTION ,350,350g,https://sapphireconfectionery.com/cdn/shop/files/NewButterCookiesSilvercollection350gfront_1200x.jpg?v=1727677527
320,,SAPPHIRE ALMOND COVERED WITH MILK CHOCO HEART SHAPED ,475,160g,"https://m.media-amazon.com/images/I/61JAvvvGD8L._AC_UF350,350_QL80_.jpg"
321,,DANISA TRADITIONAL BUTTER COOKIES ,699,200g,"https://m.media-amazon.com/images/I/618LiFaWq9L._AC_UF1000,1000_QL80_.jpg"
322,,DANISA TRADITIONAL BUTTER COOKIES ,999,375g,"https://m.media-amazon.com/images/I/71x-TDb6t4L._AC_UF894,1000_QL80_.jpg"
323,,DANISA TRADITIONAL BUTTER COOKIES ,1999,750g,"https://cdn.sharafdg.com/cdn-cgi/image/width=600,height=600,fit=pad,format=webp,quality=70/assets/7/d/4/0/7d40d59584aa8307d17f1ef26ac1a1205d55f94a_ea3c9bd060e24546bd5c3f0409082ab5.jpg"
,,MIXED,,,
254,,GRACE HONEY MIXED DRY FRUITS ,320,400g,CAMERA PIC
255,,GRACE HONEY MIXED DRY FRUITS ,210,250g,CAMERA PIC
137,,ZAZIO MIXED BERRIES ,520,250g,https://m.media-amazon.com/images/I/711dmsEtFUL.jpg
138,,ZAZIO MIXED NUTS ,520,250g,https://m.media-amazon.com/images/I/61ex1LG9U1L.jpg
84,,DRY APRICOT POUCH ,299,250g,https://tiimg.tistatic.com/fp/1/008/112/dry-apricot-with-packaging-size-5-10-kg-6-months-shelf-life-342.jpg
,,DATE SYRUP,,,
253,,DATES SYRUP VIP ARAB,1000,1kg,CAMERA PIC
324,,ZAZIO DATE SYRUP,399,500g,"https://m.media-amazon.com/images/I/61ffx27qVeL._AC_UF894,1000_QL80_.jpg"
325,,ALL NATURAL DATE SYRUP ,249,400g,https://m.media-amazon.com/images/I/713rSxKKaPL.jpg
,,HONEY,,,
326,,APIS HIMALAYA HONEY,325,500g,"https://m.media-amazon.com/images/I/71tnN9QKWhL._AC_UF1000,1000_QL80_.jpg"
327,,WAYANAD PREMIUM PURE NATURAL HONEY,510,500g,https://5.imimg.com/data5/ANDROID/Default/2024/8/439525223/WV/UP/QR/145691869/product-jpeg-500x500.jpg
328,,ROSH HONEY,650,500g,https://s3-us-west-2.amazonaws.com/clipthedeal/shop_products/1727179319.png
329,,WAYANAD PREMIUM PURE NATURAL HONEY,260,240g,https://5.imimg.com/data5/ANDROID/Default/2024/8/439525223/WV/UP/QR/145691869/product-jpeg-500x500.jpg
330,,APIS HIMALAYA HONEY,165,225g,"https://m.media-amazon.com/images/I/51HNdejPRpL._AC_UF894,1000_QL80_.jpg"
331,,WAYANAD PREMIUM PURE NATURAL HONEY,160,140g,https://5.imimg.com/data5/ANDROID/Default/2024/8/439525223/WV/UP/QR/145691869/product-jpeg-500x500.jpg
332,,BGOOD WESTERN GHATS HERITAGE HONEY,80,120g,https://mybgood.com/cdn/shop/products/120Bgoodhoney_8313669b-b326-4677-b3df-c5dec3057015_500x.png?v=1650549665
333,,BGOOD WESTERN GHATS HERITAGE HONEY,39,50g,CAMERA PIC
334,,ALSHIFA NATURAL FLORA HONEY ,110,30g,CAMERA PIC
,,CHOCOLATE PACKETS,,,
335,,LEXUS COCONUT CREAM CHOCOLATE PACKET ,699,800g,https://5.imimg.com/data5/SELLER/Default/2024/7/431486876/NT/WI/FP/63388968/1000-gr7.png
336,,LEXUS PEANUT CREAM CHOCOLATE PACKET ,699,800g,https://5.imimg.com/data5/SELLER/Default/2024/7/431485589/JO/ER/MR/63388968/rovan-3d-eyeball-candy.png
337,,SNICKERS MINIS CHOCOLATE PACKET ,2000,500g,"https://www.jiomart.com/images/product/original/rvdcgjq33a/snickers-minis-travel-edition-cs-500-gm-product-images-orvdcgjq33a-p604238270-0-202308301556.jpg?im=Resize=(1000,1000)"
338,,MARS MINIS CHOCOLATE PACKET ,1299,500g,"https://m.media-amazon.com/images/I/71I5RVyfk0L._AC_UF894,1000_QL80_.jpg"
339,,CELEBRATION TRAVEL RETAIL EXCLUSIVE ,1699,450g,https://www.cochindutyfree.com/Userfiles/Item/1315086.jpg
340,,KINDER BUENO MINI,1499,400g,https://delhidutyfree.co.in/media/catalog/product/cache/c3073cf0652b87af145d4aff9d92466d/1/5/1501277.png
341,,LADIO CAMEL CHOCOLATE DATES,750,500g,https://cdn.mafrservices.com/pim-content/KEN/media/product/236543/1726862403/236543_main.jpg
342,,TWIX MINIS,1299,500g,"https://m.media-amazon.com/images/I/71OJxmOPRVL._AC_UF894,1000_QL80_.jpg"
,,CHIPS,,,
343,,CHIPS OMAN POTATO CHIPS CHILLI FLAVOUR ,35,15g,"https://m.media-amazon.com/images/I/51Ov9rc2mRL._AC_UF350,350_QL80_.jpg"
344,,CHIPS OMAN POTATO CHIPS CHILLI FLAVOUR ,190,50g,"https://m.media-amazon.com/images/I/718SttFoKBL._AC_UF894,1000_QL80_.jpg"
345,,SOHAR CHIPS,25,15g,https://cdn.mafrservices.com/sys-master-root/hd9/h8a/9277873422366/281598_main.jpg
346,,SALAD CHIPS ,25,15g,"https://m.media-amazon.com/images/I/61kmUOqXAEL._AC_UF350,350_QL80_.jpg"
278,,TIFFANY BUGLES CHIPS,25,10.5g,https://rukminim2.flixcart.com/image/480/480/xif0q/chips/r/w/u/125-bugles-crunchy-corn-snack-chili-unique-shaped-snack-1-original-imagunkauspsujxy.jpeg?q=90
279,,ORIENTAL SUPER RING CHEESE FLAVOUR CHIPS PACKET ,100,60g,"https://images-eu.ssl-images-amazon.com/images/I/61zamP0OdmL._AC_UL200_SR200,200_.jpg"
280,,ORIENTAL CHEESE BALLS CHEESE FLAVOUR CHIPS PACKET ,100,60g,https://www.bbassets.com/media/uploads/p/l/40068057_1-oriental-snacks-cheese-balls-cheese-flavoured.jpg
281,,MIAOW MIAOW CHEESE FLAVOURED BALLS CHICPS PACKET ,85,60g,"https://m.media-amazon.com/images/I/71uDipPOy1L._AC_UF350,350_QL80_.jpg"
282,,MIAOW MIAOW ONION FLAVOURED RINGS CHIPS PACKET ,85,60g,"https://m.media-amazon.com/images/I/81v1VcG5HvL._AC_UF350,350_QL80_.jpg"
348,,POFAK OMAN CHIPS ,25,12g,"https://m.media-amazon.com/images/I/71NE1hcvpwL._AC_UF894,1000_QL80_.jpg"
180,,QATAR PAFKI CRISPY CORN BALLS CHEESE FLAVOUR ,25,12g,https://rawabihypermarket.com/uploads/product_images/featured_image/304787.jpg
181,,QATAR PAFKI CRISPY CORN BALLS CHEDDAR AND JALAPENO FLAVOUR ,25,15g,https://www.unioncoop.ae/media/catalog/product/m/i/minijalaf_348436_8223_1.png
177,,ORIENTAL SUPER RING CHEESE FLAVOUR ,100,80g,"https://m.media-amazon.com/images/I/516nW3PQwmL._AC_UF894,1000_QL80_.jpg"
178,,ORIENTAL CHEESE BALLS CHEESE FLAVOUR ,100,80g,"https://m.media-amazon.com/images/I/51LMLDoSZZL._AC_UF350,350_QL80_.jpg"
,,TOYS,,,
312,,TURBO VENTILATOR MINI CANDY ,250,5g,https://paikaree.com.bd/public/uploads/products/photos/johny-bee-turbo-ventilator-mini-candy-multi-color---5g-paikaree.webp
347,,FUNNY SNAIL CANDY ,15,,https://s.alicdn.com/@sc04/kf/Hd7b188c57d594254aa667befb2fe58abQ/Happyday-snail-toy-candy-fruit-flavor.jpg_300x300.jpg
265,,FANTASY FAIRY PRINCESS CANDY TOYS,10,,CAMERA PIC
266,,TORPEDO EGG POP,140,,https://kokos.com/wp-content/uploads/2024/04/62720-display-front.jpg
267,,SUPPER OVER CRICKET BALL CANDY TOYS ,20,,"https://m.media-amazon.com/images/I/61qBamYrxxL._AC_UF350,350_QL80_.jpg"
264,,FUNBRELLA-UMBRELLA CANDY TOYS ,10,,https://www.bbassets.com/media/uploads/p/xl/40269749_1-toy-candy-jellybean-candy-umbrella-red-for-kids.jpg
243,,TORPEDO WATER GUN CANDY,199,15g,https://torpedocandy.com/wp-content/uploads/2024/08/Torpedo-Candy-Water-Gun-Display-Box-430x430.webp
247,,BIRD MERRY-GO-ROUND CANDY TOYS,250,,CAMERA PIC
248,,HANDHELD LIGHTUP ELEPHANT FAN CANDY TOYS,250,,CAMERA PIC
249,,BASKETBALL SHOOTING CANDY TOYS,250,,CAMERA PIC
250,,CANDY BLOCKS CANDY TOYS ,180,5g,CAMERA PIC
252,,CANDY DISPENSER CANDY TOYS ,250,20g,CAMERA PIC
214,,RACE CAR TOY CANDY ,215,3g,CAMERA PIC
161,,DINO CAR TOYS,250,,CAMERA PIC
